Beginning log for ZERA_ (71d6c242-d0b0-30b9-9635-bce9cb6764aa)
Hack: Speed (500/500)
Timing: Banwave
Date: 01:00:14 PM CEST - 08/16/2019
Time elapsed: 1.83 minutes
Hack Score: 0.4731132118223922

Total amount of checks
Flight#1: 1
GhostHand#1: 1
Scaffold#3: 6
Speed#3: 79

Flagged Scaffold#3  | VL: 0 (+5) TPS: 20.0 [1.83 minutes]
Flagged Scaffold#3  | VL: 4 (+5) TPS: 20.0 [1.83 minutes]
Flagged Scaffold#3  | VL: 9 (+5) TPS: 20.0 [1.80 minutes]
Flagged Scaffold#3  | VL: 13 (+5) TPS: 20.0 [1.79 minutes]
Flagged Scaffold#3  | VL: 18 (+5) TPS: 20.0 [1.78 minutes]
Flagged Scaffold#3  | VL: 23 (+5) TPS: 20.0 [1.77 minutes]
Flagged GhostHand#1 | VL: 0 (+5) TPS: 20.0 [1.76 minutes]
Flagged Flight#1    | VL: 0 (+5) TPS: 20.0 [17.11 seconds]
Flagged Speed#3     | VL: 25 (+5) TPS: 20.0 [10.29 seconds]
Flagged Speed#3     | VL: 30 (+5) TPS: 20.0 [10.24 seconds]
Flagged Speed#3     | VL: 35 (+5) TPS: 20.0 [10.19 seconds]
Flagged Speed#3     | VL: 40 (+5) TPS: 20.0 [10.14 seconds]
Flagged Speed#3     | VL: 45 (+5) TPS: 20.0 [10.09 seconds]
Flagged Speed#3     | VL: 50 (+6) TPS: 20.0 [10.04 seconds]
Flagged Speed#3     | VL: 56 (+6) TPS: 20.0 [9.99 seconds]
Flagged Speed#3     | VL: 62 (+6) TPS: 20.0 [9.94 seconds]
Flagged Speed#3     | VL: 67 (+6) TPS: 20.0 [9.89 seconds]
Flagged Speed#3     | VL: 73 (+7) TPS: 20.0 [9.84 seconds]
Flagged Speed#3     | VL: 80 (+7) TPS: 20.0 [9.78 seconds]
Flagged Speed#3     | VL: 87 (+7) TPS: 20.0 [9.73 seconds]
Flagged Speed#3     | VL: 94 (+7) TPS: 20.0 [9.68 seconds]
Flagged Speed#3     | VL: 101 (+7) TPS: 20.0 [9.63 seconds]
Flagged Speed#3     | VL: 108 (+7) TPS: 20.0 [9.58 seconds]
Flagged Speed#3     | VL: 115 (+7) TPS: 20.0 [9.53 seconds]
Flagged Speed#3     | VL: 122 (+7) TPS: 20.0 [9.48 seconds]
Flagged Speed#3     | VL: 129 (+7) TPS: 20.0 [9.43 seconds]
Flagged Speed#3     | VL: 136 (+7) TPS: 20.0 [9.38 seconds]
Flagged Speed#3     | VL: 143 (+7) TPS: 20.0 [9.33 seconds]
Flagged Speed#3     | VL: 150 (+7) TPS: 20.0 [9.28 seconds]
Flagged Speed#3     | VL: 157 (+7) TPS: 20.0 [9.23 seconds]
Flagged Speed#3     | VL: 164 (+8) TPS: 20.0 [9.18 seconds]
Flagged Speed#3     | VL: 172 (+7) TPS: 20.0 [9.13 seconds]
Flagged Speed#3     | VL: 179 (+7) TPS: 20.0 [9.08 seconds]
Flagged Speed#3     | VL: 186 (+7) TPS: 20.0 [9.03 seconds]
Flagged Speed#3     | VL: 193 (+7) TPS: 20.0 [8.98 seconds]
Flagged Speed#3     | VL: 200 (+7) TPS: 20.0 [8.93 seconds]
Flagged Speed#3     | VL: 207 (+7) TPS: 20.0 [8.88 seconds]
Flagged Speed#3     | VL: 214 (+7) TPS: 20.0 [8.83 seconds]
Flagged Speed#3     | VL: 221 (+7) TPS: 20.0 [8.78 seconds]
Flagged Speed#3     | VL: 228 (+7) TPS: 20.0 [8.73 seconds]
Flagged Speed#3     | VL: 235 (+7) TPS: 20.0 [8.68 seconds]
Flagged Speed#3     | VL: 242 (+7) TPS: 20.0 [8.63 seconds]
Flagged Speed#3     | VL: 249 (+7) TPS: 20.0 [8.58 seconds]
Flagged Speed#3     | VL: 256 (+7) TPS: 20.0 [8.53 seconds]
Flagged Speed#3     | VL: 263 (+7) TPS: 20.0 [8.48 seconds]
Flagged Speed#3     | VL: 270 (+7) TPS: 20.0 [8.43 seconds]
Flagged Speed#3     | VL: 277 (+6) TPS: 20.0 [8.38 seconds]
Flagged Speed#3     | VL: 283 (+6) TPS: 20.0 [8.33 seconds]
Flagged Speed#3     | VL: 289 (+6) TPS: 20.0 [8.28 seconds]
Flagged Speed#3     | VL: 295 (+6) TPS: 20.0 [8.23 seconds]
Flagged Speed#3     | VL: 301 (+6) TPS: 20.0 [8.18 seconds]
Flagged Speed#3     | VL: 307 (+5) TPS: 20.0 [8.13 seconds]
Flagged Speed#3     | VL: 312 (+5) TPS: 20.0 [8.08 seconds]
Flagged Speed#3     | VL: 317 (+5) TPS: 20.0 [8.03 seconds]
Flagged Speed#3     | VL: 319 (+5) TPS: 20.0 [3.56 seconds]
Flagged Speed#3     | VL: 324 (+5) TPS: 20.0 [3.51 seconds]
Flagged Speed#3     | VL: 329 (+5) TPS: 20.0 [3.46 seconds]
Flagged Speed#3     | VL: 334 (+6) TPS: 20.0 [3.41 seconds]
Flagged Speed#3     | VL: 340 (+6) TPS: 20.0 [3.36 seconds]
Flagged Speed#3     | VL: 346 (+6) TPS: 20.0 [3.31 seconds]
Flagged Speed#3     | VL: 352 (+6) TPS: 20.0 [3.26 seconds]
Flagged Speed#3     | VL: 358 (+5) TPS: 20.0 [3.21 seconds]
Flagged Speed#3     | VL: 363 (+5) TPS: 20.0 [3.16 seconds]
Flagged Speed#3     | VL: 368 (+5) TPS: 20.0 [3.11 seconds]
Flagged Speed#3     | VL: 373 (+5) TPS: 20.0 [2.70 seconds]
Flagged Speed#3     | VL: 377 (+5) TPS: 20.0 [1.05 seconds]
Flagged Speed#3     | VL: 382 (+6) TPS: 20.0 [1.00 seconds]
Flagged Speed#3     | VL: 388 (+6) TPS: 20.0 [955 ms]
Flagged Speed#3     | VL: 394 (+6) TPS: 20.0 [904 ms]
Flagged Speed#3     | VL: 400 (+6) TPS: 20.0 [855 ms]
Flagged Speed#3     | VL: 406 (+6) TPS: 20.0 [804 ms]
Flagged Speed#3     | VL: 412 (+6) TPS: 20.0 [754 ms]
Flagged Speed#3     | VL: 418 (+6) TPS: 20.0 [704 ms]
