Beginning log for ZERA_ (71d6c242-d0b0-30b9-9635-bce9cb6764aa)
Hack: Speed (1002/1025)
Timing: Instant
Date: 01:00:22 PM CEST - 08/16/2019
Time elapsed: 1.96 minutes
Hack Score: 1.8220988208206006

Total amount of checks
Flight#1: 1
GhostHand#1: 1
Timer#2: 5
Scaffold#3: 6
Speed#3: 162

Flagged Scaffold#3  | VL: 0 (+5) TPS: 20.0 [1.96 minutes]
Flagged Scaffold#3  | VL: 4 (+5) TPS: 20.0 [1.96 minutes]
Flagged Scaffold#3  | VL: 9 (+5) TPS: 20.0 [1.93 minutes]
Flagged Scaffold#3  | VL: 13 (+5) TPS: 20.0 [1.92 minutes]
Flagged Scaffold#3  | VL: 18 (+5) TPS: 20.0 [1.91 minutes]
Flagged Scaffold#3  | VL: 23 (+5) TPS: 20.0 [1.90 minutes]
Flagged GhostHand#1 | VL: 0 (+5) TPS: 20.0 [1.89 minutes]
Flagged Flight#1    | VL: 0 (+5) TPS: 20.0 [24.91 seconds]
Flagged Speed#3     | VL: 25 (+5) TPS: 20.0 [18.09 seconds]
Flagged Speed#3     | VL: 30 (+5) TPS: 20.0 [18.04 seconds]
Flagged Speed#3     | VL: 35 (+5) TPS: 20.0 [17.99 seconds]
Flagged Speed#3     | VL: 40 (+5) TPS: 20.0 [17.94 seconds]
Flagged Speed#3     | VL: 45 (+5) TPS: 20.0 [17.89 seconds]
Flagged Speed#3     | VL: 50 (+6) TPS: 20.0 [17.84 seconds]
Flagged Speed#3     | VL: 56 (+6) TPS: 20.0 [17.79 seconds]
Flagged Speed#3     | VL: 62 (+6) TPS: 20.0 [17.74 seconds]
Flagged Speed#3     | VL: 67 (+6) TPS: 20.0 [17.69 seconds]
Flagged Speed#3     | VL: 73 (+7) TPS: 20.0 [17.64 seconds]
Flagged Speed#3     | VL: 80 (+7) TPS: 20.0 [17.58 seconds]
Flagged Speed#3     | VL: 87 (+7) TPS: 20.0 [17.53 seconds]
Flagged Speed#3     | VL: 94 (+7) TPS: 20.0 [17.48 seconds]
Flagged Speed#3     | VL: 101 (+7) TPS: 20.0 [17.43 seconds]
Flagged Speed#3     | VL: 108 (+7) TPS: 20.0 [17.38 seconds]
Flagged Speed#3     | VL: 115 (+7) TPS: 20.0 [17.33 seconds]
Flagged Speed#3     | VL: 122 (+7) TPS: 20.0 [17.28 seconds]
Flagged Speed#3     | VL: 129 (+7) TPS: 20.0 [17.23 seconds]
Flagged Speed#3     | VL: 136 (+7) TPS: 20.0 [17.18 seconds]
Flagged Speed#3     | VL: 143 (+7) TPS: 20.0 [17.13 seconds]
Flagged Speed#3     | VL: 150 (+7) TPS: 20.0 [17.08 seconds]
Flagged Speed#3     | VL: 157 (+7) TPS: 20.0 [17.03 seconds]
Flagged Speed#3     | VL: 164 (+8) TPS: 20.0 [16.98 seconds]
Flagged Speed#3     | VL: 172 (+7) TPS: 20.0 [16.93 seconds]
Flagged Speed#3     | VL: 179 (+7) TPS: 20.0 [16.88 seconds]
Flagged Speed#3     | VL: 186 (+7) TPS: 20.0 [16.83 seconds]
Flagged Speed#3     | VL: 193 (+7) TPS: 20.0 [16.78 seconds]
Flagged Speed#3     | VL: 200 (+7) TPS: 20.0 [16.73 seconds]
Flagged Speed#3     | VL: 207 (+7) TPS: 20.0 [16.68 seconds]
Flagged Speed#3     | VL: 214 (+7) TPS: 20.0 [16.63 seconds]
Flagged Speed#3     | VL: 221 (+7) TPS: 20.0 [16.58 seconds]
Flagged Speed#3     | VL: 228 (+7) TPS: 20.0 [16.53 seconds]
Flagged Speed#3     | VL: 235 (+7) TPS: 20.0 [16.48 seconds]
Flagged Speed#3     | VL: 242 (+7) TPS: 20.0 [16.43 seconds]
Flagged Speed#3     | VL: 249 (+7) TPS: 20.0 [16.38 seconds]
Flagged Speed#3     | VL: 256 (+7) TPS: 20.0 [16.33 seconds]
Flagged Speed#3     | VL: 263 (+7) TPS: 20.0 [16.28 seconds]
Flagged Speed#3     | VL: 270 (+7) TPS: 20.0 [16.23 seconds]
Flagged Speed#3     | VL: 277 (+6) TPS: 20.0 [16.18 seconds]
Flagged Speed#3     | VL: 283 (+6) TPS: 20.0 [16.13 seconds]
Flagged Speed#3     | VL: 289 (+6) TPS: 20.0 [16.08 seconds]
Flagged Speed#3     | VL: 295 (+6) TPS: 20.0 [16.03 seconds]
Flagged Speed#3     | VL: 301 (+6) TPS: 20.0 [15.98 seconds]
Flagged Speed#3     | VL: 307 (+5) TPS: 20.0 [15.93 seconds]
Flagged Speed#3     | VL: 312 (+5) TPS: 20.0 [15.88 seconds]
Flagged Speed#3     | VL: 317 (+5) TPS: 20.0 [15.83 seconds]
Flagged Speed#3     | VL: 319 (+5) TPS: 20.0 [11.36 seconds]
Flagged Speed#3     | VL: 324 (+5) TPS: 20.0 [11.31 seconds]
Flagged Speed#3     | VL: 329 (+5) TPS: 20.0 [11.26 seconds]
Flagged Speed#3     | VL: 334 (+6) TPS: 20.0 [11.21 seconds]
Flagged Speed#3     | VL: 340 (+6) TPS: 20.0 [11.16 seconds]
Flagged Speed#3     | VL: 346 (+6) TPS: 20.0 [11.11 seconds]
Flagged Speed#3     | VL: 352 (+6) TPS: 20.0 [11.06 seconds]
Flagged Speed#3     | VL: 358 (+5) TPS: 20.0 [11.01 seconds]
Flagged Speed#3     | VL: 363 (+5) TPS: 20.0 [10.96 seconds]
Flagged Speed#3     | VL: 368 (+5) TPS: 20.0 [10.91 seconds]
Flagged Speed#3     | VL: 373 (+5) TPS: 20.0 [10.50 seconds]
Flagged Speed#3     | VL: 377 (+5) TPS: 20.0 [8.85 seconds]
Flagged Speed#3     | VL: 382 (+6) TPS: 20.0 [8.80 seconds]
Flagged Speed#3     | VL: 388 (+6) TPS: 20.0 [8.75 seconds]
Flagged Speed#3     | VL: 394 (+6) TPS: 20.0 [8.70 seconds]
Flagged Speed#3     | VL: 400 (+6) TPS: 20.0 [8.65 seconds]
Flagged Speed#3     | VL: 406 (+6) TPS: 20.0 [8.60 seconds]
Flagged Speed#3     | VL: 412 (+6) TPS: 20.0 [8.55 seconds]
Flagged Speed#3     | VL: 418 (+6) TPS: 20.0 [8.50 seconds]
Flagged Speed#3     | VL: 424 (+5) TPS: 20.0 [8.45 seconds]
Flagged Speed#3     | VL: 429 (+5) TPS: 20.0 [8.40 seconds]
Flagged Speed#3     | VL: 434 (+5) TPS: 20.0 [8.35 seconds]
Flagged Speed#3     | VL: 439 (+5) TPS: 20.0 [8.30 seconds]
Flagged Speed#3     | VL: 444 (+6) TPS: 20.0 [8.25 seconds]
Flagged Speed#3     | VL: 450 (+6) TPS: 20.0 [8.20 seconds]
Flagged Speed#3     | VL: 456 (+6) TPS: 20.0 [8.15 seconds]
Flagged Speed#3     | VL: 462 (+6) TPS: 20.0 [8.10 seconds]
Flagged Speed#3     | VL: 468 (+6) TPS: 20.0 [8.05 seconds]
Flagged Speed#3     | VL: 474 (+6) TPS: 20.0 [8.00 seconds]
Flagged Speed#3     | VL: 480 (+5) TPS: 20.0 [7.95 seconds]
Flagged Speed#3     | VL: 485 (+5) TPS: 20.0 [7.9 seconds]
Flagged Speed#3     | VL: 490 (+5) TPS: 20.0 [7.85 seconds]

BANWAVE Speed#3     | VL: 495 (+5) TPS: 20.0 [7.8 seconds]
BANWAVE Log ID: R5ZWLAMM8T4CO89R

Flagged Speed#3     | VL: 499 (+5) TPS: 20.0 [7.6 seconds]
Flagged Speed#3     | VL: 504 (+5) TPS: 20.0 [7.55 seconds]
Flagged Speed#3     | VL: 509 (+5) TPS: 20.0 [7.5 seconds]
Flagged Speed#3     | VL: 514 (+5) TPS: 20.0 [7.45 seconds]
Flagged Speed#3     | VL: 519 (+5) TPS: 20.0 [6.95 seconds]
Flagged Timer#2     | VL: 0 (+5) TPS: 20.0 [5.49 seconds]
Flagged Timer#2     | VL: 5 (+5) TPS: 20.0 [5.34 seconds]
Flagged Speed#3     | VL: 523 (+5) TPS: 20.0 [5.19 seconds]
Flagged Speed#3     | VL: 528 (+5) TPS: 20.0 [5.14 seconds]
Flagged Speed#3     | VL: 533 (+5) TPS: 20.0 [5.09 seconds]
Flagged Timer#2     | VL: 10 (+5) TPS: 20.0 [5.04 seconds]
Flagged Timer#2     | VL: 15 (+5) TPS: 20.0 [4.87 seconds]
Flagged Timer#2     | VL: 20 (+5) TPS: 20.0 [4.82 seconds]
Flagged Speed#3     | VL: 538 (+5) TPS: 20.0 [3.71 seconds]
